#,Item No.,Item Description,Base Price List,Factor,Primary Currency - Base Price (currency),Primary Currency - Base Price,Primary Currency - Price (currency),Primary Currency - Price,Primary Currency - Manual,Inventory UoM,Pricing Unit,Final Price,INR,USD,EURO
1601,510102055,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1602,510102058,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1603,510102059,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1604,510102065,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1605,510102066,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,239.98,INR,239.98,N,Manual,Manual,239.98,1,85.56,92.52
1606,510102068,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1607,510102069,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,218.4,INR,218.4,N,Manual,Manual,218.4,1,85.56,92.52
1608,510102070,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,215.59,INR,215.59,N,Manual,Manual,215.59,1,85.56,92.52
1609,510102071,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,274.85,INR,274.85,N,Manual,Manual,274.85,1,85.56,92.52
1610,510102079,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1611,510102091,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,347.59,INR,347.59,N,Manual,Manual,347.59,1,85.56,92.52
1612,510102093,3 Lead ECG CABLE -Clip on(New),Purchase Price List,1,INR,201.71,INR,201.71,N,Manual,Manual,201.71,1,85.56,92.52
1613,510102094,3 LEAD ECG CABLE -CLIPON (NEW),Purchase Price List,1,INR,255.75,INR,255.75,N,Manual,Manual,255.75,1,85.56,92.52
1614,510102095,3 LEAD ECG CABLE -CLIPON(NEW),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1615,5101020L1,3 LEAD ECG CABLE -Clip On (New),Purchase Price List,1,INR,224.36,INR,224.36,N,Manual,Manual,224.36,1,85.56,92.52
1616,51010231A,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1617,510102A24,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1618,510102B69,3 LEAD ECG CABLE -Clip on(New) -Black,Purchase Price List,1,INR,296.98,INR,296.98,N,Manual,Manual,296.98,1,85.56,92.52
1619,510102D01,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1620,510102G10,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,339.41,INR,339.41,N,Manual,Manual,339.41,1,85.56,92.52
1621,510102I09,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,421.88,INR,421.88,N,Manual,Manual,421.88,1,85.56,92.52
1622,510102L30,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,219.84,INR,219.84,N,Manual,Manual,219.84,1,85.56,92.52
1623,510102L31,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,231.64,INR,231.64,N,Manual,Manual,231.64,1,85.56,92.52
1624,510102L47,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,216.22,INR,216.22,N,Manual,Manual,216.22,1,85.56,92.52
1625,510102L49,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,255.38,INR,255.38,N,Manual,Manual,255.38,1,85.56,92.52
1626,510102L71,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,233.72,INR,233.72,N,Manual,Manual,233.72,1,85.56,92.52
1627,510102N28,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1628,510103001,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,225.58,INR,225.58,N,Manual,Manual,225.58,1,85.56,92.52
1629,510103009,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,215.01,INR,215.01,N,Manual,Manual,215.01,1,85.56,92.52
1630,510103012,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,329.17,INR,329.17,N,Manual,Manual,329.17,1,85.56,92.52
1631,510103016,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,262.83,INR,262.83,N,Manual,Manual,262.83,1,85.56,92.52
1632,510103017,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,292.71,INR,292.71,N,Manual,Manual,292.71,1,85.56,92.52
1633,510103024,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,329.13,INR,329.13,N,Manual,Manual,329.13,1,85.56,92.52
1634,510103027,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,246.6,INR,246.6,N,Manual,Manual,246.6,1,85.56,92.52
1635,510103028,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,267.36,INR,267.36,N,Manual,Manual,267.36,1,85.56,92.52
1636,510103030,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1637,510103032,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1638,510103033,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,254.31,INR,254.31,N,Manual,Manual,254.31,1,85.56,92.52
1639,510103036,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1640,510103041,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1641,510103042,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,247.08,INR,247.08,N,Manual,Manual,247.08,1,85.56,92.52
1642,510103044,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1643,510103047,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,223.56,INR,223.56,N,Manual,Manual,223.56,1,85.56,92.52
1644,510103049,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,265.92,INR,265.92,N,Manual,Manual,265.92,1,85.56,92.52
1645,510103049/AHA,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,190.73,INR,190.73,N,Manual,Manual,190.73,1,85.56,92.52
1646,510103050,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1647,510103051,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1648,510103052,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,290.85,INR,290.85,N,Manual,Manual,290.85,1,85.56,92.52
1649,510103054,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,270.16,INR,270.16,N,Manual,Manual,270.16,1,85.56,92.52
1650,510103055,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1651,510103058,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1652,510103059,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1653,510103061,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1654,510103065,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1655,510103066,3 Lead ECG Cable-Button Snap,Purchase Price List,1,INR,226.38,INR,226.38,N,Manual,Manual,226.38,1,85.56,92.52
1656,510103068,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1657,510103069,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,223.2,INR,223.2,N,Manual,Manual,223.2,1,85.56,92.52
1658,510103070,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,221.8,INR,221.8,N,Manual,Manual,221.8,1,85.56,92.52
1659,510103071,3 LEAD ECG CABLE -Button snap,Purchase Price List,1,INR,240.91,INR,240.91,N,Manual,Manual,240.91,1,85.56,92.52
1660,510103073,3 Lead ECG Cable - Snap -(Detachable),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1661,510103078,3 LEAD ECG CABLE-SNAP,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1662,510103079,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1663,510103081,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1664,510103082,3 LEAD ECG CABLE-SNAP,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1665,510103084,3 LEAD ECG CABLE-Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1666,510103085,3 LEAD ECG CABLE-Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1667,510103086,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,168.35,INR,168.35,N,Manual,Manual,168.35,1,85.56,92.52
1668,510103090,3 Lead ECG Cable - Snap (With Defib Protected),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1669,510103090/AHA,3 Lead ECG Cable - Snap (With Defib Protected),Purchase Price List,1,INR,403.44,INR,403.44,N,Manual,Manual,403.44,1,85.56,92.52
1670,510103091,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,333.57,INR,333.57,N,Manual,Manual,333.57,1,85.56,92.52
1671,510103093,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,207.68,INR,207.68,N,Manual,Manual,207.68,1,85.56,92.52
1672,510103094,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,242.83,INR,242.83,N,Manual,Manual,242.83,1,85.56,92.52
1673,510103095,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1674,510103096,3 LEAD ECG CABLE - Snap (detachable),Purchase Price List,1,INR,482.62,INR,482.62,N,Manual,Manual,482.62,1,85.56,92.52
1675,5101030L1,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,229.14,INR,229.14,N,Manual,Manual,229.14,1,85.56,92.52
1676,510103A24,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1677,510103B69,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1678,510103D16,3 LEAD ECG CABLE -Button Snap(Detachable),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1679,510103E01,3 Lead EEG Cable - Button Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1680,510103G10,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,341.23,INR,341.23,N,Manual,Manual,341.23,1,85.56,92.52
1681,510103I16,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,415.9,INR,415.9,N,Manual,Manual,415.9,1,85.56,92.52
1682,510103I49,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,294.88,INR,294.88,N,Manual,Manual,294.88,1,85.56,92.52
1683,510103I71,3 LEAD ECG CABLE (Imported) - Button snap,Purchase Price List,1,INR,326.94,INR,326.94,N,Manual,Manual,326.94,1,85.56,92.52
1684,510103L30,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,189.7,INR,189.7,N,Manual,Manual,189.7,1,85.56,92.52
1685,510103L31,3 Lead ECG Cable-button Snap,Purchase Price List,1,INR,239.8,INR,239.8,N,Manual,Manual,239.8,1,85.56,92.52
1686,510103L47,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,223.66,INR,223.66,N,Manual,Manual,223.66,1,85.56,92.52
1687,510103L49,3 LEAD ECG CABLE -Button Snap,Purchase Price List,1,INR,250.74,INR,250.74,N,Manual,Manual,250.74,1,85.56,92.52
1688,510103L71,3 LEAD ECG CABLE -BUTTON SNAP,Purchase Price List,1,INR,236.87,INR,236.87,N,Manual,Manual,236.87,1,85.56,92.52
1689,510104001,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,256.86,INR,256.86,N,Manual,Manual,256.86,1,85.56,92.52
1690,510104009,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,335.58,INR,335.58,N,Manual,Manual,335.58,1,85.56,92.52
1691,510104012,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1692,510104016,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,265.69,INR,265.69,N,Manual,Manual,265.69,1,85.56,92.52
1693,510104017,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1694,510104027,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1695,510104028,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,265.46,INR,265.46,N,Manual,Manual,265.46,1,85.56,92.52
1696,510104032,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1697,510104033,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1698,510104041,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1699,510104042,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1700,510104044,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1701,510104047,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,227.19,INR,227.19,N,Manual,Manual,227.19,1,85.56,92.52
1702,510104049,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,280.36,INR,280.36,N,Manual,Manual,280.36,1,85.56,92.52
1703,510104050,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1704,510104051,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1705,510104052,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1706,510104054,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1707,510104055,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1708,510104058,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1709,510104059,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1710,510104065,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1711,510104068,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1712,510104069,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1713,510104070,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1714,510104071,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,317.35,INR,317.35,N,Manual,Manual,317.35,1,85.56,92.52
1715,510104094,3 LEAD ECG CABLE -PINCH CLIP-ON,Purchase Price List,1,INR,265.67,INR,265.67,N,Manual,Manual,265.67,1,85.56,92.52
1716,5101040L1,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,265.32,INR,265.32,N,Manual,Manual,265.32,1,85.56,92.52
1717,510104A24,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1718,510104G10,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1719,510104L47,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,INR,227.38,INR,227.38,N,Manual,Manual,227.38,1,85.56,92.52
1720,510104L49,3 LEAD ECG CABLE -Pinch Clip on,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1721,510107001,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,241.31,INR,241.31,N,Manual,Manual,241.31,1,85.56,92.52
1722,510107009,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,253.95,INR,253.95,N,Manual,Manual,253.95,1,85.56,92.52
1723,510107012,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1724,510107016,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,225.07,INR,225.07,N,Manual,Manual,225.07,1,85.56,92.52
1725,510107017,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1726,510107027,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1727,510107028,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,284.01,INR,284.01,N,Manual,Manual,284.01,1,85.56,92.52
1728,510107032,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1729,510107033,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1730,510107041,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1731,510107042,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1732,510107044,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1733,510107047,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,241.39,INR,241.39,N,Manual,Manual,241.39,1,85.56,92.52
1734,510107049,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,247.82,INR,247.82,N,Manual,Manual,247.82,1,85.56,92.52
1735,510107049/AHA,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1736,510107050,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1737,510107051,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1738,510107052,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1739,510107054,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1740,510107055,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1741,510107058,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1742,510107059,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1743,510107065,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1744,510107068,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1745,510107069,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1746,510107070,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1747,510107071,3 LEAD ECG CABLE -NEONATAL SNAP,Purchase Price List,1,INR,307.62,INR,307.62,N,Manual,Manual,307.62,1,85.56,92.52
1748,510107071/AHA,3 LEAD ECG CABLE -NEONATAL SNAP,Purchase Price List,1,INR,209.8,INR,209.8,N,Manual,Manual,209.8,1,85.56,92.52
1749,510107079,3 LEAD ECG CABLE -Pediatric/Neonatal Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1750,510107094,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,255.32,INR,255.32,N,Manual,Manual,255.32,1,85.56,92.52
1751,510107095,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1752,5101070L1,3 LEAD ECG CABLE -PEDIATRIC SNAP,Purchase Price List,1,INR,242.99,INR,242.99,N,Manual,Manual,242.99,1,85.56,92.52
1753,510107A24,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1754,510107G10,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1755,510107I49/AHA,3 LEAD ECG CABLE -Pediatric Snap,Purchase Price List,1,INR,293.41,INR,293.41,N,Manual,Manual,293.41,1,85.56,92.52
1756,510107L71,3 LEAD ECG CABLE -NEONATAL SNAP,Purchase Price List,1,INR,232.31,INR,232.31,N,Manual,Manual,232.31,1,85.56,92.52
1757,5101C2001,3 LEAD ECG CABLE - CLIP-ON NEW-IMPORTED,Purchase Price List,1,INR,361.17,INR,361.17,N,Manual,Manual,361.17,1,85.56,92.52
1758,5101C2009,3 LEAD ECG CABLE -Clip on(New)-Colour/Imported,Purchase Price List,1,INR,255.15,INR,255.15,N,Manual,Manual,255.15,1,85.56,92.52
1759,5101C2016,3 LEAD ECG CABLE -Clip on(New)-Colour/Imported,Purchase Price List,1,INR,368.61,INR,368.61,N,Manual,Manual,368.61,1,85.56,92.52
1760,5101C2028,3 LEAD ECG CABLE - CLIP-ON NEW-IMPORTED/COLOUR,Purchase Price List,1,INR,361.82,INR,361.82,N,Manual,Manual,361.82,1,85.56,92.52
1761,5101C2094,3 LEAD ECG CABLE - CLIP-ON NEW-IMPORTED,Purchase Price List,1,INR,367.26,INR,367.26,N,Manual,Manual,367.26,1,85.56,92.52
1762,5101C3001,3 LEAD ECG CABLE - BUTTON SNAP-IMPORTED,Purchase Price List,1,INR,375.09,INR,375.09,N,Manual,Manual,375.09,1,85.56,92.52
1763,5101C3009,3 LEAD ECG CABLE -BUTTON SNAP-Colour/Imported,Purchase Price List,1,INR,64.44,INR,64.44,N,Manual,Manual,64.44,1,85.56,92.52
1764,5101C3016,3 LEAD ECG CABLE -BUTTON SNAP-Colour/Imported,Purchase Price List,1,INR,348.91,INR,348.91,N,Manual,Manual,348.91,1,85.56,92.52
1765,5101C3028,3 LEAD ECG CABLE - BUTTON SNAP-IMPORTED/COLOUR,Purchase Price List,1,INR,352.98,INR,352.98,N,Manual,Manual,352.98,1,85.56,92.52
1766,5101D2001,3 LEAD ECG CABLE -Clip on- Detachable,Purchase Price List,1,INR,404.31,INR,404.31,N,Manual,Manual,404.31,1,85.56,92.52
1767,5101D2009,3 LEAD ECG CABLE -Clip on- Detachable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1768,5101D2016,3 LEAD ECG CABLE -Clip on- Detachable,Purchase Price List,1,INR,217.18,INR,217.18,N,Manual,Manual,217.18,1,85.56,92.52
1769,5101D2024,3 LEAD ECG CABLE -Clip on- Detachable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1770,5101D2028,3 LEAD ECG CABLE -Clip on- Detachable,Purchase Price List,1,INR,202.96,INR,202.96,N,Manual,Manual,202.96,1,85.56,92.52
1771,5101D2094,3 LEAD ECG CABLE -Clip on- Detachable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1772,5101D3001,3 LEAD ECG CABLE -Snap - Detachable,Purchase Price List,1,INR,448.54,INR,448.54,N,Manual,Manual,448.54,1,85.56,92.52
1773,5101D3009,3 LEAD ECG CABLE -Snap - Detachable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1774,5101D3016,3 LEAD ECG CABLE -Snap - Detachable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1775,5101D3024,3 LEAD ECG CABLE -Snap - Detachable,Purchase Price List,1,INR,527,INR,527,N,Manual,Manual,527,1,85.56,92.52
1776,5101D3028,3 LEAD ECG CABLE -Snap - Detachable,Purchase Price List,1,INR,462.6,INR,462.6,N,Manual,Manual,462.6,1,85.56,92.52
1777,5101D3094,3 LEAD ECG CABLE -Snap - Detachable,Purchase Price List,1,INR,430.9,INR,430.9,N,Manual,Manual,430.9,1,85.56,92.52
1778,5101DT009,3 LEAD ECG -Detachable TRUNK CABLE,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1779,5101DT016,3 LEAD ECG Detachable TRUNK  CABLE,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1780,5101DT024,3 LEAD ECG Detachable Trunk Cable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1781,5101DT028,3 LEAD ECG Detachable Trunk Cable,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1782,5101I2001,3 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,371.73,INR,371.73,N,Manual,Manual,371.73,1,85.56,92.52
1783,5101I3001,3 LEAD ECG CABLE -Button Snap (Fully Imported),Purchase Price List,1,INR,333.84,INR,333.84,N,Manual,Manual,333.84,1,85.56,92.52
1784,5101I3028,3 LEAD ECG CABLE -Button Snap (Fully Imported ),Purchase Price List,1,INR,140.81,INR,140.81,N,Manual,Manual,140.81,1,85.56,92.52
1785,5101I30L1,3 LEAD ECG CABLE -Button Snap (Fully Imported ),Purchase Price List,1,INR,351.69,INR,351.69,N,Manual,Manual,351.69,1,85.56,92.52
1786,510201001,5 LEAD ECG CABLE -4mm Banana Pin,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1787,510201038,5 LEAD ECG CABLE -4MM BANANA PIN,Purchase Price List,1,INR,357.45,INR,357.45,N,Manual,Manual,357.45,1,85.56,92.52
1788,510201064,5 LEAD ECG CABLE -4mm Banana Pin,Purchase Price List,1,INR,259.39,INR,259.39,N,Manual,Manual,259.39,1,85.56,92.52
1789,510201A64,5 LEAD ECG CABLE -4mm Banana Pin,Purchase Price List,1,INR,221.2,INR,221.2,N,Manual,Manual,221.2,1,85.56,92.52
1790,510201L47,5 LEAD ECG CABLE -4mm Banana Pin,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
1791,510202001,5 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,269.3,INR,269.3,N,Manual,Manual,269.3,1,85.56,92.52
1792,510202009,5 LEAD ECG CABLE -Clip on(New),Purchase Price List,1,INR,296.12,INR,296.12,N,Manual,Manual,296.12,1,85.56,92.52
