#,Item No.,Item Description,Base Price List,Factor,Primary Currency - Base Price (currency),Primary Currency - Base Price,Primary Currency - Price (currency),Primary Currency - Price,Primary Currency - Manual,Inventory UoM,Pricing Unit,Final Price,INR,USD,EURO
44,140101004,Temperature Probe - Skin,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
45,140101005,Temperature Probe - Skin,Purchase Price List,1,INR,165.13,INR,165.13,N,Manual,Manual,165.13,1,85.56,92.52
46,140101006,Temperature Probe - Skin,Purchase Price List,1,INR,131.94,INR,131.94,N,Manual,Manual,131.94,1,85.56,92.52
47,140101008,Temperature Probe -Skin (400 SERIES),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
48,140101009,Temperature Probe-Skin,Purchase Price List,1,INR,315.3,INR,315.3,N,Manual,Manual,315.3,1,85.56,92.52
49,140101010,Temperature Probe-Skin(400 Series 10K),Purchase Price List,1,INR,169.4,INR,169.4,N,Manual,Manual,169.4,1,85.56,92.52
50,140101013,Temperature Probe-Skin,Purchase Price List,1,INR,117.24,INR,117.24,N,Manual,Manual,117.24,1,85.56,92.52
51,140101016,Temperature Probe-Skin (Zeal 2 Pin),Purchase Price List,1,INR,170.45,INR,170.45,N,Manual,Manual,170.45,1,85.56,92.52
52,140101017,Temperature Probe-Skin,Purchase Price List,1,INR,420.02,INR,420.02,N,Manual,Manual,420.02,1,85.56,92.52
53,140101019,Temperature Probe-Skin,Purchase Price List,1,INR,135.96,INR,135.96,N,Manual,Manual,135.96,1,85.56,92.52
54,140101020,Temperature Probe-Skin,Purchase Price List,1,INR,140.16,INR,140.16,N,Manual,Manual,140.16,1,85.56,92.52
55,140101021,Temperature Probe -Skin,Purchase Price List,1,INR,119.92,INR,119.92,N,Manual,Manual,119.92,1,85.56,92.52
56,140101027,Temperature Probe -Skin,Purchase Price List,1,INR,130.72,INR,130.72,N,Manual,Manual,130.72,1,85.56,92.52
57,140101028,Temperature Probe -Skin,Purchase Price List,1,INR,114.49,INR,114.49,N,Manual,Manual,114.49,1,85.56,92.52
58,140101029,R*TEMP PROBE -SKIN -2PIN (3-86-100-0206-48),Purchase Price List,1,INR,706.33,INR,706.33,N,Manual,Manual,706.33,1,85.56,92.52
59,140101058,Temperature Probe -Skin,Purchase Price List,1,INR,159.09,INR,159.09,N,Manual,Manual,159.09,1,85.56,92.52
60,1401010L3,Temperature Probe -Skin (400 SERIES),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
61,140102021,Temperature Probe -Rectal,Purchase Price List,1,INR,124.62,INR,124.62,N,Manual,Manual,124.62,1,85.56,92.52
62,140102027,Temperature Probe -Rectal,Purchase Price List,1,INR,163.5,INR,163.5,N,Manual,Manual,163.5,1,85.56,92.52
63,140102028,Temperature Probe -Rectal,Purchase Price List,1,INR,106.71,INR,106.71,N,Manual,Manual,106.71,1,85.56,92.52
64,140102029,R*TEMP PROBE-RECTAL-2 PIN (3-86-100-0225-88),Purchase Price List,1,INR,709.34,INR,709.34,N,Manual,Manual,709.34,1,85.56,92.52
65,140102030,Temperature Probe - Rectal (10k-2 Pin Redel Conn),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
66,140103002,Temperature Probe -Oral,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
67,1401030L3,Temperature Probe -Oral (400 SERIES),Purchase Price List,1,INR,273.23,INR,273.23,N,Manual,Manual,273.23,1,85.56,92.52
68,140104011,Temperature Probe- Airway,Purchase Price List,1,INR,123.89,INR,123.89,N,Manual,Manual,123.89,1,85.56,92.52
69,140104012,Single Airway temperature probe,Purchase Price List,1,INR,228.54,INR,228.54,N,Manual,Manual,228.54,1,85.56,92.52
70,140104014,Dual Airway temperature probe,Purchase Price List,1,INR,748.94,INR,748.94,N,Manual,Manual,748.94,1,85.56,92.52
71,140104016,Servo Airway temperature probe,Purchase Price List,1,INR,48.95,INR,48.95,N,Manual,Manual,48.95,1,85.56,92.52
72,140104018,Air Temperature Probe for Incubators,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
73,140104058,HUMDIFIER TEMPERATURE PROBE (BPL),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
74,140104C14,Dual Airway temperature probe- Compamedic,Purchase Price List,1,INR,748.94,INR,748.94,N,Manual,Manual,748.94,1,85.56,92.52
75,140104C16,Dual Airway temperature probe for compamedic,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
76,140105022,Temp Cable Rigel (Philips),Purchase Price List,1,INR,321.59,INR,321.59,N,Manual,Manual,321.59,1,85.56,92.52
77,140105024,Temp Cable Rigel (GE),Purchase Price List,1,INR,342.17,INR,342.17,N,Manual,Manual,342.17,1,85.56,92.52
78,140105026,Temp Cable Rigel (Schiller),Purchase Price List,1,INR,324.23,INR,324.23,N,Manual,Manual,324.23,1,85.56,92.52
79,140105027,Temp Cable Rigel (YSI),Purchase Price List,1,INR,376.73,INR,376.73,N,Manual,Manual,376.73,1,85.56,92.52
80,170362-4,"CONTACT, SOCKET, 18AWG, CRIMP",Purchase Price List,1,INR,10.5,INR,10.5,N,Manual,Manual,10.5,1,85.56,92.52
81,172166-1,"CONNECTOR HOUSING, PLUG, 3 WAY, NYLON",Purchase Price List,1,INR,37,INR,37,N,Manual,Manual,37,1,85.56,92.52
82,186-0106,Disposable Bis Quatro,Purchase Price List,1,INR,1051.56,INR,1051.56,N,Manual,Manual,1051.56,1,85.56,92.52
83,1863,SPO2 Pulse Oximeter Adult Probe 0.9m (M-LNCS DCI),Purchase Price List,1,INR,1750,INR,1750,N,Manual,Manual,1750,1,85.56,92.52
84,20,5 LEAD ECG CABLE -Button Snap-IMPORTED,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
85,20101001,SPO2 Pulse Oximeter Adult Probe 0.9m(Texas Instruments),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
86,203803T07,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,1051.56,INR,1051.56,N,Manual,Manual,1051.56,1,85.56,92.52
87,203803T08,SPO2 Pulse Oximeter Neonatal Wrap Probe 3.0m,Purchase Price List,1,INR,1048.61,INR,1048.61,N,Manual,Manual,1048.61,1,85.56,92.52
88,203803T09,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,1250,INR,1250,N,Manual,Manual,1250,1,85.56,92.52
89,203803T10,SPO2 Pulse Oximeter Neonatal Wrap Probe 3.0m,Purchase Price List,1,INR,1300,INR,1300,N,Manual,Manual,1300,1,85.56,92.52
90,203803T11,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,1100,INR,1100,N,Manual,Manual,1100,1,85.56,92.52
91,203803T12,SPO2 Pulse Oximeter Neonatal Wrap Probe 3.0m,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
92,203803T13,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,1150,INR,1150,N,Manual,Manual,1150,1,85.56,92.52
93,203803T14,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,1025,INR,1025,N,Manual,Manual,1025,1,85.56,92.52
94,203803T15,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
95,203803T16,SPO2 Pulse Oximeter Adult Probe 0.9m,Purchase Price List,1,INR,500,INR,500,N,Manual,Manual,500,1,85.56,92.52
96,203803T17,SPO2 Pulse Oximeter Pediatric clip Probe 0.9m,Purchase Price List,1,INR,554.32,INR,554.32,N,Manual,Manual,554.32,1,85.56,92.52
97,203803T18,Spo2 Neonatal wrap 0.9m,Purchase Price List,1,USD,2,USD,2,N,Manual,Manual,171.12,1,85.56,92.52
98,203803T19,Disposable sensors-Nellcor,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
99,203803T20,Disposable sensors-Nellcor Oximax(compatible),Purchase Price List,1,USD,1.28,USD,1.28,N,Manual,Manual,109.5168,1,85.56,92.52
100,203803T22,SPO2 Pulse Oximeter Adult clip Probe 0.9m - GE Trusignal DB9,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
101,203803T25,SPO2 Pulse Oximeter Adult Probe 0.9m (Masimo LNCS),Purchase Price List,1,INR,901.97,INR,901.97,N,Manual,Manual,901.97,1,85.56,92.52
102,203803T26,SPO2 Pulse Oximeter Neonatal Probe 0.9m(Masimo LNCS),Purchase Price List,1,INR,1000,INR,1000,N,Manual,Manual,1000,1,85.56,92.52
103,203803T27,Spo2 Extension cable (Masimo LNCS),Purchase Price List,1,USD,13,USD,13,N,Manual,Manual,1112.28,1,85.56,92.52
104,203803T28,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,634.5,INR,634.5,N,Manual,Manual,634.5,1,85.56,92.52
105,203803T29,SPO2 Pulse Oximeter Adult Probe 3.0m,Purchase Price List,1,INR,650.78,INR,650.78,N,Manual,Manual,650.78,1,85.56,92.52
106,203803T30,SPO2 Pulse Oximeter Pediatric Flex 3.0m,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
107,203803T46,Multilink cable,Purchase Price List,1,USD,58,USD,58,N,Manual,Manual,4962.48,1,85.56,92.52
108,203803T50,Reusable Nellcor SPO2 Sensor( D-YS),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
